2025-02-25 13:36:17 - INFO - train data: 13259
2025-02-25 13:36:17 - INFO - train unqiue data: 13259
2025-02-25 13:36:17 - INFO - valid data: 1474
2025-02-25 13:36:17 - INFO - valid unqiue data: 1474
2025-02-25 13:41:01 - INFO - epoch-0, train_mse_loss-0.0006673, train_kl_loss-93292688239356417364983808.0000000, val_mse_loss-0.0031062, val_kl_loss-80241830.3925917
2025-02-25 13:45:16 - INFO - epoch-1, train_mse_loss-0.0005616, train_kl_loss-30736312979.3059387, val_mse_loss-0.0024114, val_kl_loss-33.1798478
2025-02-25 13:49:29 - INFO - epoch-2, train_mse_loss-0.0005793, train_kl_loss-131538.8229985, val_mse_loss-0.0011090, val_kl_loss-38.0165674
2025-02-25 13:49:36 - INFO - Saved new best model at epoch 2 with validation loss 38.0176764
2025-02-25 13:53:51 - INFO - epoch-3, train_mse_loss-0.0005665, train_kl_loss-48779152564169264.0000000, val_mse_loss-0.0005795, val_kl_loss-55.3640861
2025-02-25 13:58:04 - INFO - epoch-4, train_mse_loss-0.0005539, train_kl_loss-9992230873911638.0000000, val_mse_loss-0.0005795, val_kl_loss-102.1227993
2025-02-25 14:02:18 - INFO - epoch-5, train_mse_loss-0.0005444, train_kl_loss-3281609342055.7382812, val_mse_loss-0.0005795, val_kl_loss-98.6558199
2025-02-25 14:06:32 - INFO - epoch-6, train_mse_loss-0.0005333, train_kl_loss-2099940300739467.7500000, val_mse_loss-0.0005795, val_kl_loss-80.3716791
2025-02-25 14:10:44 - INFO - epoch-7, train_mse_loss-0.0005340, train_kl_loss-471919391.3216648, val_mse_loss-0.0005795, val_kl_loss-67.4305610
2025-02-25 14:14:57 - INFO - epoch-8, train_mse_loss-0.0005345, train_kl_loss-309990745184.6445312, val_mse_loss-0.0005795, val_kl_loss-71.1136127
2025-02-25 14:19:11 - INFO - epoch-9, train_mse_loss-0.0005341, train_kl_loss-1224326315051.3793945, val_mse_loss-0.0005795, val_kl_loss-3247.1161195
2025-02-25 14:23:25 - INFO - epoch-10, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 14:27:38 - INFO - epoch-11, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 14:31:51 - INFO - epoch-12, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 14:36:04 - INFO - epoch-13, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 14:40:18 - INFO - epoch-14, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 14:44:34 - INFO - epoch-15, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 14:48:48 - INFO - epoch-16, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 14:53:01 - INFO - epoch-17, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 14:57:16 - INFO - epoch-18, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 15:01:30 - INFO - epoch-19, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 15:05:52 - INFO - epoch-20, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 15:10:28 - INFO - epoch-21, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 15:14:43 - INFO - epoch-22, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 15:18:56 - INFO - epoch-23, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 15:23:08 - INFO - epoch-24, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 15:27:21 - INFO - epoch-25, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 15:31:34 - INFO - epoch-26, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 15:35:47 - INFO - epoch-27, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 15:40:00 - INFO - epoch-28, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 15:44:14 - INFO - epoch-29, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 15:48:27 - INFO - epoch-30, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 15:52:42 - INFO - epoch-31, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 15:56:56 - INFO - epoch-32, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 16:01:09 - INFO - epoch-33, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 16:05:23 - INFO - epoch-34, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 16:09:35 - INFO - epoch-35, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 16:13:49 - INFO - epoch-36, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 16:18:02 - INFO - epoch-37, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 16:22:16 - INFO - epoch-38, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 16:26:29 - INFO - epoch-39, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 16:30:42 - INFO - epoch-40, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 16:34:56 - INFO - epoch-41, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 16:39:10 - INFO - epoch-42, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 16:43:24 - INFO - epoch-43, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 16:47:38 - INFO - epoch-44, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 16:51:52 - INFO - epoch-45, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 16:56:05 - INFO - epoch-46, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 17:00:21 - INFO - epoch-47, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
2025-02-25 17:04:37 - INFO - epoch-48, train_mse_loss-nan, train_kl_loss-nan, val_mse_loss-nan, val_kl_loss-nan
